1117159,46,4227,339
1117160,53,4225,319
1117161,62,4218,300
1117162,68,4216,291
1117163,62,4219,300
1117164,49,4213,322
1117165,28,4202,337
1117166,10,4192,340
1117167,8,4188,325
1117168,11,4184,305
1117169,7,4186,285
1117170,7,4187,267
1117171,11,4185,251
1117172,7,4189,236
1117173,3,4187,206
1117174,3,4185,161
1117175,-6,4188,134
1117176,-21,4197,109
1117177,-22,4206,74
1117178,-19,4210,42
1117179,-30,4213,33
1117180,-41,4209,24
1117181,-45,4202,8
1117182,-52,4198,19
1117183,-55,4194,3
1117184,-57,4191,0
1117185,-62,4183,23
1117186,-57,4174,33
1117187,-54,4166,37
1117188,-62,4160,52
1117189,-82,4159,61
1117190,-86,4161,39
1117191,-67,4156,21
1117192,-60,4151,54
1117193,-66,4151,87
1117194,-68,4141,92
1117195,-67,4132,117
1117196,-84,4138,170
1117197,-97,4142,203
1117198,-77,4139,174
1117199,-38,4140,100
1117200,0,4153,36
1117201,23,4163,14
1117202,27,4172,39
1117203,13,4184,64
1117204,12,4181,57
1117205,22,4172,49
1117206,14,4173,54
1117207,1,4175,56
1117208,-8,4168,83
1117209,-26,4168,145
1117210,-43,4170,169
1117211,-19,4166,143
1117212,-12,4167,180
1117213,-5,4169,218
1117214,-3,4174,216
1117215,-4,4171,198
1117216,-8,4164,220
1117217,-12,4166,264
1117218,-20,4170,290
1117219,-16,4166,305
1117220,-6,4155,322
1117221,-6,4153,320
1117222,2,4153,290
1117223,16,4154,281
1117224,22,4160,286
1117225,39,4165,240
1117226,65,4168,173
1117227,62,4169,162
1117228,36,4173,188
1117229,33,4176,182
1117230,54,4172,141
1117231,61,4178,120
1117232,44,4188,127
1117233,25,4183,144
1117234,16,4169,168
1117235,-5,4165,196
1117236,-29,4166,229
1117237,-35,4164,255
1117238,-36,4163,272
1117239,-32,4155,280
1117240,-28,4152,281
1117241,-33,4156,267
1117242,-21,4154,243
1117243,-1,4150,241
1117244,6,4156,267
1117245,14,4170,263
1117246,55,4168,196
1117247,94,4163,149
1117248,70,4168,184
1117249,25,4170,237
1117250,10,4161,253
1117251,25,4137,213
1117252,30,4135,208
1117253,27,4127,233
1117254,2,4124,283
1117255,-21,4125,313
1117256,-32,4131,334
1117257,-36,4141,352
1117258,-29,4144,323
1117259,-8,4143,263
1117260,10,4140,244
1117261,-2,4157,278
1117262,-15,4162,282
1117263,12,4142,246
1117264,54,4128,232
1117265,70,4124,257
1117266,70,4130,275
1117267,77,4133,246
1117268,80,4127,216
1117269,65,4121,210
1117270,48,4118,210
1117271,37,4115,208
1117272,32,4107,213
1117273,27,4103,237
