,336
7462816,9,4192,342
7462817,22,4192,355
7462818,30,4185,362
7462819,36,4175,368
7462820,43,4172,369
7462821,53,4175,377
7462822,64,4173,386
7462823,67,4170,385
7462824,72,4170,382
7462825,79,4172,372
7462826,80,4174,358
7462827,82,4173,346
7462828,90,4164,343
7462829,102,4150,340
7462830,105,4146,339
7462831,105,4148,333
7462832,117,4149,312
7462833,124,4159,303
7462834,121,4166,312
7462835,117,4177,312
7462836,106,4193,299
7462837,94,4195,293
7462838,80,4194,284
7462839,53,4209,255
7462840,46,4228,241
7462841,41,4244,243
7462842,34,4252,254
7462843,23,4254,262
7462844,13,4256,273
7462845,14,4258,280
7462846,19,4262,283
7462847,10,4274,291
7462848,3,4283,305
7462849,4,4285,316
7462850,5,4291,314
7462851,1,4303,312
7462852,-3,4310,316
7462853,-7,4318,321
7462854,-7,4332,326
7462855,-4,4340,328
7462856,2,4340,337
7462857,5,4337,346
7462858,-1,4329,347
7462859,-4,4321,349
7462860,-3,4315,351
7462861,-3,4310,350
7462862,-4,4308,357
7462863,-1,4300,359
7462864,4,4290,349
7462865,9,4293,344
7462866,15,4300,344
7462867,21,4294,348
7462868,23,4276,354
7462869,29,4260,361
7462870,36,4258,360
7462871,34,4250,345
7462872,20,4236,329
7462873,2,4233,322
7462874,-11,4234,320
7462875,-17,4230,320
7462876,-24,4227,313
7462877,-25,4221,317
7462878,-26,4224,310
7462879,-31,4230,305
7462880,-37,4232,312
7462881,-41,4234,320
7462882,-51,4241,318
7462883,-58,4237,305
7462884,-65,4231,304
7462885,-78,4232,318
7462886,-86,4234,327
7462887,-83,4227,327
7462888,-79,4221,324
7462889,-79,4224,317
7462890,-81,4230,313
7462891,-84,4231,310
7462892,-82,4234,313
7462893,-80,4241,314
7462895,-77,4249,300
7462896,-66,4247,296
7462897,-60,4229,298
7462898,-56,4210,304
7462899,-30,4183,333
7462900,-14,4172,350
7462901,2,4167,352
7462902,22,4161,346
7462903,41,4148,339
7462904,61,4132,326
7462905,84,4124,318
7462906,104,4115,325
7462907,112,4098,335
7462908,110,4084,330
7462909,104,4068,317
7462910,103,4053,307
7462911,105,4043,303
7462912,100,4039,309
7462913,95,4035,310
7462914,97,4037,292
7462915,99,4041,265
7462916,102,4033,250
7462917,104,4024,253
7462918,103,4013,257
7462919,101,4008,257
7462920,99,4009,264
7462921,103,4011,263
7462922,113,4011,248
7462923,117,4003,237
7462924,101,3990,232
7462925,80,3982,235
7462926,67,3979,239
7462927,60,3980,239
7462928,54,3984,244
7462929,39,3983,248
7462930,21,3980,233
7462931,20,3982,215
7462932,22,3979,206
7462933,37,3969,215
7462934,42,3851,273
7462935,-19,4012,384
7462936,30,3994,6
7462937,14,3982,-1
7462938,-38,4052,150
7462939,-24,4071,197
7462940,24,4054,151
7462941,53,4060,143
7462942,47,4078,178
7462943,26,4084,206
7462944,6,4092,208
7462945,-6,4102,197
7462946,-16,4111,205
7462947,-24,4127,230
7462948,-37,4143,257
7462949,-48,4152,286
7462950,-55,4154,308
7462951,-56,4154,325
7462952,-62,4153,350
7462953,-70,4154,367
7462954,-74,4153,370
7462955,-76,4149,369
7462956,-79,4143,364
7462957,-93,4141,360
7462958,-105,4145,355
7462959,-106,4158,344
7462960,-106,4168,332
7462961,-105,4178,325
7462962,-95,4190,314
7462963,-84,4204,294
7462964,-87,4213,277
7462965,-82,4216,270
7462966,-73,4219,277
7462967,-61,4228,283
7462968,-50,4231,276
7462969,-44,4226,272
7462970,-39,4221,272
7462971,-24,4219,269
7462972,-5,4227,262
7462973,17,4232,262
7462974,34,4229,274
7462975,41,4227,288
7462976,49,4227,304
7462977,52,4226,312
7462978,52,4222,312
7462979,57,4219,325
7462980,58,4213,333
7462981,51,4208,326
7462982,57,4210,315
7462983,70,4208,317
7462984,72,4214,335
7462985,74,4218,346
7462986,76,4211,346
7462987,80,4207,339
7462988,91,4204,341
7462989,104,4202,358
7462990,115,4202,368
7462991,122,4202,377
7462992,128,4203,383
7462993,138,4202,377
7462994,146,4203,369
7462995,145,4207,371
7462996,136,4185,392
7462997,134,4180,390
7462998,129,4179,385
7462999,121,4176,381
7463000,108,4164,371
7463001,88,4151,371
7463002,66,4151,374
7463003,56,4157,359
7463004,52,4164,344
7463005,47,4169,336
7463006,38,4169,328
7463007,30,4171,327
7463008,25,4179,324
7463009,25,4181,316
7463010,27,4170,310
7463011,24,4160,306
7463012,16,4161,300
7463013,4,4160,295
7463014,-11,4155,291
7463015,-27,4157,280
7463016,-36,4168,265
7463017,-53,4180,261
7463018,-76,4191,260
7463019,-93,4202,244
7463020,-111,4207,225
7463021,-127,4212,215
7463022,-129,4219,209
7463023,-124,4229,202
7463024,-119,4231,203
7463025,-118,4224,211
7463026,-120,4218,221
7463027,-123,4215,232
7463028,-119,4213,239
7463029,-110,4207,244
7463030,-98,4205,253
7463031,-77,4206,285
7463032,-67,4204,291
7463033,-56,4200,291
7463034,-40,4198,294
7463035,-24,4204,312
7463036,-14,4219,331
7463037,-3,4225,341
7463038,15,4219,351
7463039,30,4208,348
7463040,38,4197,346
7463041,51,4186,363
7463042,65,4174,382
7463043,81,4170,394
7463044,102,4170,402
7463045,127,4164,405
7463046,151,4158,414
7463047,164,4162,423
7463048,171,4163,422
7463049,180,4158,420
7463050,191,4152,415
7463051,200,4153,409
7463052,203,4157,401
7463053,202,4159,402
7463054,199,4165,401
7463055,191,4173,388
7463056,183,4175,385
7463057,174,4170,390
7463058,164,4168,388
7463059,157,4171,393
7463060,154,4169,410
7463061,150,4162,413
7463062,139,4150,409
7463063,126,4142,412
7463064,114,4136,412
7463065,115,4126,407
7463066,115,4114,406
7463067,106,4097,406
7463068,98,4081,405
7463069,83,4066,413
7463070,41,4097,404
7463071,29,4112,390
7463072,40,4084,391
7463073,49,4086,397
7463074,45,4154,405
7463075,49,4210,408
7463076,60,4208,415
7463077,78,4177,430
7463078,98,4151,446
7463079,110,4133,464
7463080,107,4115,482
7463081,108,4092,497
7463082,123,4077,498
7463083,134,4073,480
7463084,121,4076,452
7463085,97,4085,425
7463086,78,4085,385
7463087,52,4079,328
7463088,14,4081,284
7463089,-39,4089,255
7463090,-95,4094,229
7463091,-144,4098,212
7463092,-181,4098,211
7463093,-199,4097,218
7463094,-197,4095,212
7463095,-179,4092,189
7463096,-145,4094,167
7463097,-105,4101,158
7463098,-63,4111,162
7463099,-16,4114,182
7463101,26,4114,198
7463102,59,4112,195
7463103,76,4105,195
7463104,78,4104,209
7463105,77,4106,222
7463106,55,4111,248
7463107,37,4118,264
7463108,23,4123,281
7463109,13,4123,300
7463110,9,4129,313
7463111,15,4144,319
7463112,24,4154,321
7463113,34,4155,316
7463114,54,4164,315
7463115,80,4180,324
7463116,98,4193,336
7463117,118,4202,353
7463118,140,4208,370
7463119,147,4220,375
7463120,143,4232,369
7463121,144,4231,363
7463122,145,4230,368
7463123,139,4236,385
7463124,139,4237,405
7463125,140,4233,430
7463126,129,4229,454
7463127,114,4224,469
7463128,97,4225,477
7463129,79,4225,470
7463130,67,4215,460
7463131,60,4201,462
7463132,58,4184,479
7463133,61,4164,509
7463134,61,4149,530
7463135,60,4144,523
7463136,62,4143,501
7463137,68,4139,481
7463138,77,4136,461
7463139,85,4129,442
7463140,91,4121,425
7463141,92,4123,408
7463142,86,4124,389
7463143,86,4125,371
7463144,88,4130,350
7463145,62,4140,326
7463146,44,4139,333
7463147,35,4147,324
7463148,35,4156,307
7463149,36,4155,291
7463150,36,4148,282
7463151,35,4147,272
7463152,35,4149,254
7463153,33,4154,245
7463154,31,4160,239
7463155,28,4159,228
7463156,27,4153,214
7463157,41,4152,198
7463158,57,4153,187
7463159,58,4151,185
7463160,54,4146,194
7463161,49,4137,210
7463162,44,4122,231
7463163,38,4111,248
7463164,35,4103,255
7463165,41,4102,254
7463166,44,4103,255
7463167,44,4105,264
7463168,54,4103,272
7463169,59,4098,288
7463170,56,4101,299
7463171,52,4108,297
7463172,52,4110,297
7463173,61,4113,299
7463174,63,4117,300
7463175,66,4118,295
7463176,72,4118,286
7463177,73,4118,284
7463178,82,4124,277
7463179,92,4132,271
7463180,97,4138,284
7463181,99,4139,301
7463182,96,4144,311
7463183,87,4159,304
7463184,70,4172,300
7463185,62,4175,329
7463186,52,4187,353
7463187,38,4189,363
7463188,25,4181,363
7463189,15,4178,349
7463190,7,4180,338
7463191,8,4186,338
7463192,15,4186,342
7463193,17,4179,347
7463194,12,4177,357
7463195,4,4179,370
7463196,-1,4187,377
7463197,-5,4194,375
7463198,-8,4192,378
7463199,-7,4186,385
7463200,-3,4177,388
7463201,1,4177,394
7463202,1,4185,407
7463203,-6,4190,422
7463204,-8,4189,435
7463205,-4,4184,433
7463206,3,4177,427
7463207,16,4178,444
7463208,18,4184,466
7463209,17,4191,473
7463210,24,4187,460
7463211,35,4176,445
7463212,54,4170,451
7463213,72,4171,454
7463214,84,4171,439
7463215,101,4165,419
7463216,121,4156,410
7463217,131,4149,420
7463218,129,4149,436
7463219,132,4147,434
7463220,144,4135,421
7463221,154,4125,416
7463222,157,4118,420
7463223,143,4106,428
7463224,131,4098,424
7463225,121,4099,420
7463226,107,4105,418
7463227,95,4106,407
7463228,79,4105,392
7463229,63,4102,387
7463230,56,4105,372
7463231,54,4108,352
7463232,53,4106,340
7463233,43,4105,334
7463234,32,4109,327
7463235,28,4111,307
7463236,28,4109,284
7463237,31,4110,282
7463238,35,4112,293
7463239,42,4110,293
7463240,45,4105,284
7463241,40,4105,280
7463242,37,4097,279
7463243,35,4088,276
7463244,29,4090,271
7463245,13,4092,271
7463246,-4,4095,272
7463247,-6,4093,265
7463248,1,4093,255
7463249,9,4101,256
7463250,21,4108,265
7463251,29,4106,269
7463252,35,4097,258
7463253,43,4093,239
7463254,52,4095,242
7463255,62,4102,252
7463256,70,4116,249
7463257,77,4125,238
7463258,80,4122,220
7463259,80,4120,219
7463260,84,4126,240
7463261,78,4135,252
7463262,60,4165,266
7463263,53,4176,278
7463264,39,4183,282
7463265,28,4185,281
7463266,24,4198,292
7463267,22,4213,303
7463268,24,4218,298
7463269,29,4220,298
7463270,23,4228,313
7463271,15,4233,327
7463272,16,4230,336
7463273,13,4231,356
7463274,1,4236,368
7463275,-13,4236,376
7463276,-25,4226,385
7463277,-36,4220,387
7463278,-41,4220,385
7463279,-36,4227,383
7463280,-32,4243,390
7463281,-35,4248,407
7463282,-40,4242,421
7463283,-43,4243,420
7463284,-41,4240,423
7463285,-41,4234,429
7463286,-46,4235,430
7463287,-47,4236,435
7463288,-40,4229,440
7463289,-9,4224,443
7463290,7,4227,458
7463291,23,4224,458
7463292,36,4223,450
7463293,50,4228,444
7463294,70,4228,445
7463295,79,4223,459
7463296,73,4212,478
7463297,66,4199,487
7463298,67,4194,482
7463299,77,4192,479
7463300,84,4188,482
7463301,87,4182,480
7463302,97,4176,465
7463303,108,4175,442
7463304,109,4176,442
7463305,109,4174,453
7463306,113,4172,450
7463307,113,4174,436
7463308,113,4182,409
7463309,119,4183,389
7463310,137,4176,389
7463311,154,4173,391
7463312,158,4166,387
7463313,149,4164,385
7463314,140,4158,389
7463315,137,4145,392
7463316,128,4133,391
7463317,122,4123,394
7463318,117,4117,409
7463319,109,4106,418
7463320,97,4090,407
7463321,84,4077,396
7463322,76,4066,395
7463323,66,4062,397
7463324,61,4063,392
7463325,59,4058,376
7463326,45,4054,361
7463327,41,4064,328
7463328,40,4063,312
7463329,36,4065,304
7463330,34,4061,294
7463331,37,4058,284
7463332,46,4065,262
7463333,56,4063,239
7463334,60,4055,229
7463335,61,4054,225
7463336,62,4058,223
7463337,64,4061,215
7463338,59,4063,188
7463339,45,4061,168
7463340,42,4057,180
7463341,47,4049,189
7463342,50,4042,183
7463343,52,4043,180
7463344,48,4058,186
7463345,45,4077,194
7463346,43,4087,189
7463347,36,4096,170
7463348,26,4103,162
7463349,20,4103,171
7463350,16,4100,182
7463351,15,4103,194
7463352,10,4112,203
7463353,0,4120,210
7463354,-8,4121,211
7463355,-7,4112,220
7463356,-4,4105,241
7463357,-5,4100,255
7463358,-2,4097,266
7463359,1,4101,277
7463360,4,4100,290
7463361,1,4097,310
7463362,-4,4095,325
7463363,1,4088,321
7463364,0,4088,303
7463365,5,4115,295
7463366,12,4117,300
7463367,11,4117,304
7463368,6,4126,301
7463369,11,4138,307
7463370,23,4146,315
7463371,39,4149,311
7463372,57,4141,309
7463373,63,4138,317
7463374,58,4146,334
7463375,54,4157,353
7463376,58,4166,354
7463377,60,4179,354
7463378,53,4192,368
7463379,45,4197,393
7463380,43,4195,410
7463381,48,4194,416
7463382,50,4202,427
7463383,44,4213,425
7463384,38,4218,419
7463385,39,4213,423
7463386,35,4201,437
7463387,26,4198,445
7463388,24,4205,442
7463389,30,4210,440
7463390,35,4216,438
7463391,42,4223,436
7463392,44,4223,432
7463393,46,4223,428
7463394,56,4225,430
7463395,68,4222,437
7463396,81,4217,440
7463397,93,4212,440
7463398,106,4205,437
7463399,119,4201,433
7463400,132,4199,429
7463401,141,4194,423
7463402,144,4184,411
7463403,145,4176,399
7463404,153,4186,383
7463405,162,4190,382
7463406,158,4193,383
7463407,159,4195,372
7463408,170,4189,366
7463409,171,4182,366
7463410,162,4177,358
7463411,153,4178,346
7463412,149,4174,329
7463413,150,4164,321
7463414,147,4163,315
7463415,144,4164,299
7463416,147,4160,279
7463417,146,4160,266
7463418,137,4165,269
7463419,125,4169,275
7463420,118,4167,275
7463421,106,4160,275
7463422,93,4152,280
7463423,85,4150,287
7463424,76,4148,295
7463425,69,4148,299
7463426,67,4153,284
7463427,71,4153,261
7463428,71,4150,248
7463429,67,4144,246
7463430,65,4140,245
7463431,59,4143,247
7463432,56,4140,244
7463433,59,4133,243
7463434,58,4128,245
7463435,56,4127,240
7463436,60,4127,233
7463437,54,4129,232
7463438,41,4129,233
7463439,36,4120,221
7463440,40,4106,217
7463441,46,4094,223
7463442,51,4091,226
7463443,72,4090,225
7463444,81,4094,230
7463445,94,4091,242
7463446,96,4088,246
7463447,93,4091,239
7463448,96,4092,236
7463449,98,4093,239
7463450,94,4096,239
7463451,94,4099,233
7463452,103,4097,229
7463453,110,4096,228
7463454,117,4102,232
7463455,128,4116,249
7463456,139,4128,268
7463457,144,4127,283
7463458,142,4131,295
7463459,141,4141,291
7463460,138,4151,286
7463461,133,4164,300
7463462,138,4174,316
7463463,146,4177,326
7463464,142,4179,337
7463465,138,4181,346
7463466,137,4181,352
7463467,130,4184,362
7463468,118,4192,369
7463469,103,4202,377
7463470,95,4213,385
7463471,103,4222,392
7463472,118,4226,399
7463473,123,4221,411
7463474,120,4210,427
7463475,118,4212,426
7463476,119,4224,417
7463477,117,4224,419
7463478,122,4207,427
7463479,125,4189,437
7463480,124,4169,446
7463481,133,4145,459
7463482,145,4115,479
7463483,146,4102,488
7463484,150,4093,490
7463485,156,4092,477
7463486,161,4095,458
7463487,166,4099,446
7463488,173,4110,432
7463489,171,4126,407
7463490,169,4130,380
7463491,171,4133,363
7463492,163,4137,347
7463493,141,4137,330
7463494,129,4149,321
7463495,132,4167,313
7463496,128,4176,308
7463497,123,4181,317
7463498,130,4189,323
7463499,134,4194,320
7463500,135,4188,315
7463501,137,4179,321
7463502,138,4164,331
7463503,135,4150,340
7463504,131,4149,350
7463505,123,4146,355
7463506,113,4135,364
7463507,115,4120,372
7463508,112,4107,375
7463509,100,4101,379
7463510,93,4090,377
7463511,89,4077,367
7463512,84,4079,367
7463513,81,4087,363
7463514,82,4092,340
7463515,87,4095,322
7463516,89,4093,314
7463517,83,4090,303
7463518,86,4090,289
7463519,100,4092,268
7463520,114,4092,247
7463521,129,4110,221
7463522,131,4115,213
7463523,128,4120,204
7463524,122,4126,214
7463525,123,4128,224
7463526,122,4128,216
7463527,115,4136,214
7463528,106,4145,221
7463529,96,4150,236
7463530,86,4155,252
7463531,72,4157,248
7463532,60,4157,238
7463533,56,4156,236
7463534,50,4157,246
7463535,36,4163,259
7463536,20,4164,267
7463537,11,4166,274
7463538,16,4170,288
7463539,20,4170,301
7463540,20,4168,315
7463541,25,4165,324
7463542,36,4162,327
7463543,50,4158,328
7463544,54,4159,331
7463545,50,4168,337
7463546,47,4175,341
7463547,42,4174,346
7463548,37,4167,346
7463549,39,4157,348
7463550,48,4149,352
7463551,58,4140,343
7463552,57,4135,319
7463553,49,4134,300
7463554,47,4135,310
7463555,52,4136,332
7463556,58,4134,341
7463557,61,4138,333
7463558,64,4141,328
7463559,67,4135,332
7463560,61,4116,333
7463561,71,4108,329
7463562,78,4104,319
7463563,77,4103,314
7463564,79,4104,307
7463565,78,4111,301
7463566,74,4113,296
7463567,83,4110,293
7463568,100,4108,285
7463569,108,4113,277
7463570,107,4116,287
7463571,103,4118,296
7463572,103,4121,303
7463573,99,4128,310
7463574,92,4142,301
7463575,91,4154,286
7463576,85,4156,278
7463577,70,4153,268
7463578,67,4159,262
7463579,71,4168,273
7463580,73,4170,289
7463581,75,4167,297
7463582,71,4172,300
7463583,58,4186,307
7463584,55,4188,321
7463585,64,4177,334
7463586,69,4178,339
7463587,73,4183,347
7463588,78,4183,360
7463589,85,4184,366
7463590,91,4186,375
7463591,90,4191,384
7463592,93,4188,382
7463593,103,4180,379
7463594,99,4169,383
7463595,86,4157,395
7463596,81,4151,404
7463597,79,4150,399
7463598,91,4133,413
7463599,105,4125,409
7463600,115,4121,395
7463601,120,4125,393
7463602,120,4134,393
7463603,124,4139,377
7463604,127,4136,354
7463605,125,4132,339
7463606,135,4129,325
7463607,146,4129,323
7463608,140,4129,327
7463609,134,4127,319
7463610,142,4130,301
7463611,156,4135,275
7463612,159,4136,259
7463613,158,4136,265
7463614,157,4140,282
7463615,148,4139,281
7463616,132,4129,263
7463617,122,4122,257
7463618,119,4122,259
7463619,109,4125,266
7463620,95,4127,260
7463621,88,4126,239
7463622,84,4130,223
7463623,75,4130,217
7463624,68,4128,217
7463625,62,4137,208
7463626,61,4135,210
7463627,61,4126,229
7463628,54,4124,235
7463629,48,4131,221
7463630,50,4140,205
7463631,55,4143,205
7463632,55,4140,215
7463633,47,4137,218
7463634,37,4142,210
7463635,39,4143,208
7463636,41,4142,229
7463637,47,4140,267
7463638,47,4147,271
7463639,54,4153,276
7463640,60,4151,278
7463641,61,4141,290
7463642,61,4133,298
7463643,59,4137,299
7463644,58,4140,298
7463645,60,4140,290
7463646,63,4141,288
7463647,66,4133,306
7463648,77,4117,323
7463649,94,4114,330
7463650,100,4122,331
7463651,92,4122,324
7463652,82,4118,316
7463653,77,4119,316
7463654,78,4126,324
7463655,85,4126,328
7463656,97,4114,330
7463657,110,4104,335
7463658,116,4101,342
7463659,116,4103,355
7463660,117,4096,357
7463661,113,4084,350
7463662,109,4081,348
7463663,110,4089,346
7463664,115,4095,339
7463665,124,4094,332
7463666,133,4096,329
7463667,139,4095,325
7463668,137,4094,327
7463669,131,4099,329
7463670,126,4107,327
7463671,119,4106,322
7463672,114,4101,319
7463673,104,4101,307
7463674,91,4107,298
7463675,88,4108,305
7463676,77,4115,318
7463677,63,4117,316
7463678,43,4118,310
7463679,23,4121,310
7463680,13,4122,331
7463681,5,4120,342
7463682,-5,4124,330
7463683,-20,4137,315
7463684,-26,4141,313
7463685,-21,4142,315
7463686,-16,4150,324
7463687,-8,4152,338
7463688,4,4148,339
7463689,14,4145,334
7463690,12,4148,328
7463691,3,4147,325
7463692,2,4142,329
7463693,8,4144,329
7463694,11,4152,329
7463695,19,4153,337
7463696,32,4150,341
7463697,38,4145,338
7463698,39,4144,328
7463699,53,4149,322
7463700,69,4147,324
7463701,78,4142,320
7463702,86,4139,324
7463703,99,4138,337
7463704,116,4139,344
7463705,130,4139,346
7463706,137,4137,339
7463707,144,4136,329
7463708,153,4144,320
7463709,168,4150,308
7463710,182,4152,308
7463711,191,4151,318
7463712,192,4151,326
7463713,183,4166,328
7463714,176,4170,328
7463715,162,4174,331
7463716,148,4172,327
7463717,131,4169,321
7463718,115,4173,317
7463719,108,4177,318
7463720,104,4179,316
7463721,98,4183,306
7463722,95,4192,296
7463723,89,4197,289
7463724,71,4194,290
7463725,52,4188,303
7463726,35,4191,314
7463727,21,4202,314
7463728,14,4209,316
7463729,9,4213,317
7463730,1,4220,315
7463731,-10,4222,317
7463732,-18,4218,317
7463733,-14,4218,314
7463734,-9,4221,323
7463735,-9,4222,339
7463736,-2,4221,343
7463737,9,4216,336
7463738,8,4212,332
7463739,2,4219,341
7463740,12,4225,354
7463741,33,4225,363
7463742,49,4216,375
7463743,49,4212,387
7463744,48,4217,395
7463745,55,4211,402
7463746,71,4197,407
7463747,86,4197,403
7463748,89,4206,396
7463749,91,4202,398
7463750,118,4196,392
7463751,136,4190,379
7463752,150,4178,377
7463753,155,4167,381
7463754,156,4167,385
7463755,154,4167,386
7463756,147,4159,385
7463757,144,4150,389
7463758,138,4143,394
7463759,133,4144,400
7463760,134,4151,402
7463761,142,4152,402
7463762,151,4146,400
7463763,149,4144,397
7463764,143,4146,399
7463765,139,4144,396
7463766,130,4138,395
7463767,125,4136,411
7463768,131,4133,430
7463769,131,4128,428
7463770,125,4126,416
7463771,123,4129,416
7463772,118,4134,430
7463773,108,4133,440
7463774,100,4122,431
7463775,97,4113,418
7463776,95,4113,411
7463777,93,4111,405
7463779,94,4107,402
7463780,98,4112,390
7463781,99,4124,377
7463782,92,4128,370
7463783,86,4131,361
7463784,87,4136,362
7463785,83,4141,358
7463786,69,4140,349
7463787,55,4131,348
7463788,48,4129,349
7463789,60,4130,333
7463790,63,4128,334
7463791,55,4130,344
7463792,47,4129,346
7463793,48,4126,343
7463794,48,4127,342
7463795,45,4133,342
7463796,48,4135,336
7463797,48,4132,325
7463798,49,4124,324
7463799,60,4111,328
7463800,71,4104,324
7463801,78,4104,322
7463802,81,4102,318
7463803,78,4101,317
7463804,70,4106,320
7463805,66,4112,313
7463806,65,4121,312
7463807,65,4129,323
7463808,78,4135,315
7463809,89,4137,297
7463810,93,4136,299
7463811,99,4134,306
7463812,103,4136,311
7463813,111,4141,315
7463814,121,4139,308
7463815,118,4145,305
7463816,107,4152,305
7463817,105,4150,302
7463818,110,4153,300
7463819,110,4156,299
7463820,103,4157,303
7463821,100,4158,307
7463822,102,4157,301
7463823,101,4160,295
7463824,94,4160,305
7463825,84,4160,325
7463826,85,4163,335
7463827,85,4167,327
7463828,69,4171,300
7463829,61,4176,297
7463830,57,4176,292
7463831,61,4171,292
7463832,68,4167,295
7463833,74,4167,293
7463834,72,4164,289
7463835,66,4161,294
7463836,57,4160,291
7463837,55,4157,281
7463838,57,4153,279
7463839,58,4154,281
7463840,54,4161,278
7463841,48,4160,272
7463842,46,4152,275
7463843,44,4145,284
7463844,32,4142,285
7463845,21,4141,273
7463846,23,4142,266
7463847,23,4145,271
7463848,15,4148,269
7463849,11,4149,265
7463850,14,4144,265
7463851,19,4145,264
7463852,24,4153,258
7463853,25,4151,247
7463854,22,4146,243
7463855,22,4147,245
7463856,27,4146,244
7463857,24,4148,251
7463858,18,4147,267
7463859,17,4145,273
7463860,21,4141,272
7463861,27,4138,274
