2155725,-248,4351,-109
2155726,-287,4343,-131
2155727,-349,4353,-96
2155728,-386,4365,-73
2155729,-376,4360,-93
2155730,-337,4352,-130
2155731,-285,4347,-154
2155732,-243,4342,-151
2155733,-165,4359,-227
2155734,-118,4358,-286
2155735,-117,4362,-288
2155736,-133,4363,-267
2155737,-134,4359,-253
2155738,-138,4348,-243
2155739,-157,4334,-215
2155740,-184,4323,-174
2155741,-210,4324,-132
2155742,-213,4329,-126
2155743,-186,4317,-146
2155744,-161,4313,-150
2155745,-136,4316,-155
2155747,-106,4304,-156
2155748,-93,4290,-140
2155749,-98,4279,-98
2155750,-111,4285,-50
2155751,-105,4298,-33
2155752,-76,4295,-44
2155753,-43,4290,-39
2155754,-21,4288,-31
2155755,-15,4277,-21
2155756,-29,4265,12
2155757,-55,4250,59
2155758,-79,4238,96
2155759,-97,4227,105
2155760,-108,4211,102
2155761,-105,4191,103
2155762,-103,4166,129
2155763,-115,4167,174
2155764,-114,4169,199
2155765,-95,4159,214
2155766,-78,4157,246
2155767,-70,4159,289
2155768,-65,4164,331
2155769,-45,4168,359
2155770,-15,4161,384
2155771,7,4154,432
2155772,35,4157,469
2155773,63,4155,469
2155774,93,4150,456
2155775,100,4163,472
2155776,120,4174,473
2155777,144,4175,473
2155778,137,4194,494
2155779,114,4214,527
2155780,87,4229,565
2155781,56,4246,605
2155782,39,4268,611
2155783,51,4293,556
2155784,69,4309,496
2155785,72,4332,461
2155786,73,4350,461
2155787,71,4367,469
2155788,75,4370,441
2155789,69,4372,431
2155790,40,4378,460
2155791,18,4358,474
2155792,9,4339,461
2155793,3,4335,439
2155794,8,4324,410
2155795,21,4301,386
2155796,11,4289,368
2155797,-17,4284,345
2155798,-50,4290,343
2155799,-70,4302,341
2155800,-86,4306,316
2155801,-109,4321,276
2155802,-127,4340,231
2155803,-154,4353,235
2155804,-200,4371,278
2155805,-231,4387,298
2155806,-248,4397,312
2155807,-266,4409,340
2155808,-280,4419,368
2155809,-292,4428,403
2155810,-299,4441,444
2155811,-309,4440,463
2155812,-316,4439,484
2155813,-323,4438,500
2155814,-321,4425,528
2155815,-328,4414,571
2155816,-336,4412,588
2155817,-302,4393,562
2155818,-248,4360,536
2155819,-219,4341,534
2155820,-212,4330,541
2155821,-211,4309,547
2155822,-202,4282,538
2155823,-185,4258,526
2155824,-161,4235,521
2155825,-141,4224,514
2155826,-129,4221,495
2155827,-108,4215,457
2155828,-82,4217,416
2155829,-75,4232,397
2155830,-74,4251,378
2155831,-54,4270,335
2155832,-34,4274,291
2155833,-40,4278,273
2155834,-67,4295,281
2155835,-87,4328,289
2155836,-81,4354,289
2155837,-77,4370,285
2155838,-94,4385,273
2155839,-122,4401,258
2155840,-166,4423,262
2155841,-219,4443,303
2155842,-278,4469,344
2155843,-326,4496,357
2155844,-337,4525,347
2155845,-302,4551,332
2155846,-277,4569,353
2155847,-244,4583,355
2155848,-230,4575,371
2155849,-245,4569,382
2155850,-285,4560,364
2155851,-341,4544,353
2155852,-409,4542,363
2155853,-456,4537,373
2155854,-436,4536,339
2155855,-366,4533,271
2155856,-296,4531,207
2155857,-249,4548,157
2155858,-233,4562,122
2155859,-248,4567,98
2155860,-288,4569,79
2155861,-315,4574,59
2155862,-312,4583,45
2155863,-300,4590,17
2155864,-290,4591,-29
2155865,-308,4589,-38
2155866,-347,4585,-4
2155867,-352,4588,24
2155868,-310,4589,17
2155869,-260,4585,-9
2155870,-232,4594,-18
2155871,-230,4621,4
2155872,-235,4649,27
2155873,-259,4659,33
2155874,-297,4657,50
2155875,-330,4650,76
2155876,-370,4602,133
2155877,-378,4584,159
2155878,-389,4580,158
2155879,-400,4573,133
2155880,-400,4573,131
2155881,-389,4589,155
2155882,-366,4611,172
2155883,-343,4631,171
2155884,-332,4637,163
2155885,-322,4636,175
2155886,-319,4644,206
2155887,-319,4653,226
2155888,-318,4652,262
2155889,-317,4647,330
2155890,-303,4646,375
2155891,-275,4638,394
2155892,-243,4626,400
2155893,-222,4614,407
2155894,-215,4600,438
2155895,-203,4585,465
2155896,-189,4566,479
2155897,-181,4545,491
2155898,-162,4522,483
2155899,-142,4497,484
2155900,-134,4472,513
2155901,-114,4445,529
2155902,-79,4411,531
2155903,-49,4376,545
2155904,-24,4358,560
2155905,-8,4342,563
2155906,-14,4322,591
2155907,-25,4307,628
2155908,-19,4298,635
2155909,17,4311,679
2155910,35,4307,709
2155911,50,4317,721
2155912,52,4337,744
2155913,51,4351,775
2155914,46,4362,789
2155915,52,4379,788
2155916,65,4401,786
2155917,79,4420,790
2155918,77,4428,805
2155919,63,4432,833
2155920,54,4444,856
2155921,61,4448,867
2155922,76,4435,878
2155923,78,4419,897
2155924,67,4402,925
2155925,59,4386,945
2155926,58,4365,948
2155927,55,4339,950
2155928,64,4316,954
2155929,77,4297,951
2155930,81,4288,937
2155931,81,4283,907
2155932,89,4262,853
2155933,99,4234,790
2155934,108,4216,734
2155935,131,4211,669
2155936,150,4210,608
2155937,159,4211,577
2155938,163,4217,562
2155939,152,4208,537
2155940,131,4183,504
2155941,106,4158,479
2155942,86,4138,446
2155943,67,4101,393
2155944,125,4106,367
2155945,120,4055,336
2155946,24,3973,335
2155947,-38,3950,369
2155948,-56,3932,361
2155949,-58,3914,337
2155950,-62,3899,338
2155951,-66,3880,348
2155952,-59,3857,361
2155953,-37,3831,359
2155954,0,3813,342
2155955,42,3798,319
2155956,77,3787,283
2155957,108,3782,245
2155958,135,3778,215
2155959,158,3770,200
2155960,173,3756,189
2155961,180,3746,182
2155962,192,3746,186
2155963,210,3753,200
2155964,223,3760,228
2155965,233,3761,259
2155966,243,3762,285
2155967,248,3763,314
2155968,251,3761,356
2155969,249,3759,402
2155970,240,3755,455
2155971,241,3752,464
2155972,241,3745,482
2155973,242,3738,508
